,dist,table1_oid,col_raj2000,col_dej2000,WiseID,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,airmass,alt,az,moon_sep
0,3.2504879251222122e-06,1,2.1755086,63.00935350000001,J000842.12+630033.6,1636042515805110273,Gaia EDR3 431511550298172800 ,431511550298172800,596107844,2016.0,2.1755100290452916,0.0071333516,63.009350314872854,0.00857466,0.1848585076358392,0.01000093,18.484133,2.935089,-2.8023173236071592,0.009277423,-0.8727920539180686,0.010928642,-0.16209157,0.17492156,-0.10374044,-0.065616615,-0.108636804,-0.07869358,0.028874675,0.04762018,-0.06702496,-0.26583755,406,406,403,3,-1.3894526,479.8373,0.016963806,0.3773782,31,False,1.368381,,,,,,,,47,27,0.016045237,54,17,0,0.0015800734,43.469242,4,0,0.9503351,,,,,,,,,False,462,175722.46669404846,173.27306,1014.1361,12.575298,52,56177.423329346195,231.64151,242.51881,13.464638,51,175399.28270448928,426.24387,411.49985,11.637826,0,41,0,41,0,1.3178549,1.8268118,0.88933945,0.93747234,-59.261616,2.64006,8,6000.0,3.5,0.0,118.10518389656539,0.5387940999750386,39.22865779090912,54.16413236251869,1.1526051658071166,60.18090636040684,357.6870196191011,57.30342879379434
1,9.190143385428839e-05,2,4.7942272,52.0343285,J001910.61+520203.5,1636042515805110273,Gaia EDR3 395106071771109632 ,395106071771109632,1176630978,2016.0,4.794283260095182,0.013720479,52.03424331503062,0.014192273,0.11918396879128407,0.023593992,5.051454,2.4296823,-2.235765130917326,0.016964698,-0.9511624001785719,0.01897381,-0.47253832,0.32286167,-0.37833574,0.2613116,-0.08975623,0.22055219,-0.15189286,-0.17594804,0.21033508,-0.48772648,814,0,810,4,5.2306266,1092.059,0.0723473,2.15073,31,False,1.2431558,,,,,,,,94,26,0.031520743,105,40,0,0.2709414,136.08919,0,0,1.1327198,0.06476697,0.5438991,0.21845523,0.41745,-176.19214,54.237785,-33.051235,-27.043531,False,603,16092.494840489646,58.76377,273.85062,15.170809,77,2017.7283841281753,63.00827,32.02323,17.076385,68,21446.471586186766,215.41777,99.55758,13.919506,0,8,0,3,0,1.4580834,3.1568794,1.9055767,1.2513027,,,0,,,,117.8956010837594,-10.521757085213101,30.476812184659384,44.65778720245137,1.1069100654955122,64.61075089906687,359.9879603009266,54.44464923778391
2,1.171315273411049e-05,3,7.3382829,64.8140565,J002921.18+644850.6,1636042515805110273,Gaia EDR3 527244073525751424 ,527244073525751424,995586498,2016.0,7.338255698779419,0.021017924,64.81405828931211,0.022519369,0.11346356696822034,0.028305812,4.00849,2.2048712,-2.187064553292816,0.026765455,-0.2796533382924151,0.030150475,-0.06616776,0.22533745,-0.19431566,-0.003814621,0.014237097,-0.047334634,-0.015704848,0.010830462,0.13739249,-0.13512856,417,0,413,4,0.22739273,426.7533,0.049470477,0.38484,31,False,1.3246113,,,,,,,,48,27,0.042896792,55,16,0,0.012453891,57.97095,0,0,1.0071518,0.1787553,0.12099239,0.082839206,0.27791658,-95.028114,70.14144,38.96006,1.4633691,False,460,10917.168949918263,7.132742,1530.5712,15.592092,53,2858.735227921219,13.114016,217.99083,16.698107,53,12146.553621441493,21.560957,563.35876,14.536763,0,18,0,17,0,1.374467,2.1613436,1.1060152,1.0553284,,,0,,,,120.58380809783596,2.043044828279106,44.156996666753884,53.962997943612194,1.056361853301782,71.19929871406192,0.14393473887619165,52.05515480905139
3,2.3618043849793012e-05,5,11.6177924,58.90579069999999,J004628.27+585420.8,1636042515805110273,Gaia EDR3 425250454359568512 ,425250454359568512,371622483,2016.0,11.617747391908509,0.011078538,58.90579488512996,0.011166318,0.22343858657750182,0.015768006,14.170377,1.9318374,-1.8258602613336337,0.01402374,-0.6310547111246206,0.015343138,-0.29423493,-0.002404671,-0.23753804,-0.01300121,-0.059272833,-0.008835827,-0.16676395,-0.020127896,0.17763202,-0.39242315,459,0,458,1,0.5028571,472.24933,0.0,0.0,31,False,1.5660335,,,,,,,,54,28,0.024185484,65,22,0,0.025818396,48.90634,0,0,1.0160129,0.1789906,0.32555282,0.056636244,0.13630092,-92.71214,43.821503,-11.243723,4.750455,False,528,46542.89962601722,9.574374,4861.195,14.017734,60,25590.168854993037,17.838507,1434.5466,14.318359,61,30295.450233590724,20.456757,1480.9508,13.544452,0,2,0,2,0,1.2007335,0.77390766,0.3006258,0.47328186,,,0,,,,122.28913355227924,-3.9597559115664263,40.76057303590838,48.09795687153454,1.1743472900052552,58.37922190899345,2.1348332750266925,56.07238164912723
4,2.477172958941239e-05,6,12.0930919,74.2992817,J004822.34+741757.4,1636042515805110273,Gaia EDR3 538615394576168832 ,538615394576168832,147461822,2016.0,12.093001394512248,0.020834617,74.29927798726271,0.020997487,0.06538960242184673,0.024071548,2.7164683,0.17478262,-0.1706307901206908,0.024303442,-0.037869492294661564,0.025544338,-0.010564562,0.17856085,-0.35894692,-0.07754382,-0.0058347983,-0.12585387,0.20142093,-0.11584513,0.28823122,-0.02265812,352,36,351,1,10.550836,700.3294,0.14387158,7.965414,31,False,1.2492188,,,,,,,,40,27,0.036306046,45,24,0,0.36093298,120.483185,0,0,1.4257205,,,,,,,,,False,353,10110.302038282507,811.8852,12.452871,15.675457,40,2579.6201969942817,628.5817,4.103874,16.809652,41,16287.705205153801,3721.9539,4.3761168,14.2182455,0,0,0,0,0,1.8661486,2.5914068,1.1341953,1.4572115,-114.360085,2.4990835,3,4500.0,3.0,0.0,122.72031112838289,11.428787695584456,58.68524297429295,59.39505725494155,1.1133781749305929,63.91821828833056,8.117244699026523,51.36971833465601
5,4.308382759736194e-06,7,12.4480736,63.6361242,J004947.53+633810.0,1636042515805110273,Gaia EDR3 523968761523650304 ,523968761523650304,188188335,2016.0,12.448067361917566,0.0070639313,63.63612090023577,0.007877105,0.35624614938728255,0.010153774,35.0851,1.1308773,-0.9260899063299142,0.008983523,-0.6490307847444255,0.010939665,-0.23000126,-0.01883706,-0.11430274,-0.06373811,0.0035314767,-0.07984444,0.09346105,-0.016858205,0.13714673,-0.34066978,469,469,469,0,-3.7313526,532.9407,0.025014136,0.8323626,31,False,1.4833165,,,,,,,,54,28,0.016342778,59,18,0,0.013539783,71.886536,0,0,0.87935966,,,,,,,,,False,496,158405.12838663656,22.370956,7080.8384,12.687943,55,73077.8817032395,34.313717,2129.6987,13.179077,53,124123.95449294774,36.93471,3360.6316,12.013256,0,0,0,0,0,1.2449207,1.1658211,0.4911337,0.6746874,,,0,,,,122.74920879828078,0.7649547155307063,45.691587007291766,51.62650594506328,1.3296239840881592,48.77194846171999,3.0334223590144727,60.092630570237404
6,1.3958281758160244e-05,8,12.8670235,64.9477022,J005128.08+645651.7,1636042515805110273,Gaia EDR3 524436985982459904 ,524436985982459904,989091863,2016.0,12.866991529986613,0.010985009,64.94769879878487,0.01250932,0.15466187847715285,0.015567298,9.935049,1.533972,-1.5156681816066377,0.014576819,0.23626320451312205,0.018849682,-0.21252072,0.09997605,-0.2628558,-0.05752448,0.04939204,-0.09367504,-0.054187123,-0.31151682,0.24641563,-0.39976242,459,268,455,4,13.983214,936.0976,0.107572556,12.007977,31,True,1.3116921,,,,,,,,52,26,0.028389188,60,20,0,0.1222127,49.626263,1,0,1.4997829,,,,,,,,,False,499,103962.79826001154,1735.7849,59.893826,13.145172,56,25437.374516208318,1509.806,16.848108,14.324862,55,119969.3788430671,5400.0654,22.216282,12.05022,2,0,0,1,0,1.3986422,2.274642,1.1796894,1.0949526,,,0,,,,122.93510281164698,2.0759489844673373,47.268675051201335,52.52867591683798,1.163975195900443,59.21846115470956,6.710203684569776,53.56483066798091
7,4.820212972888485e-05,9,16.2504303,-5.6676941,J010500.10-054003.6,1636042515805110273,Gaia EDR3 2476818789615446784,2476818789615446784,1131168930,2016.0,16.250455137088746,0.024615038,-5.667735483341909,0.017405424,0.023074410141421132,0.029080436,0.79346853,2.0538433,0.9612024072115951,0.028177768,-1.815037656157279,0.030017812,0.33327103,0.46933973,-0.3001942,0.034944262,0.049779255,-0.078573674,-0.26580128,0.1113979,0.11844153,0.45043552,268,0,266,2,0.15416358,276.78247,0.0,0.0,31,False,1.2426023,,,,,,,,31,15,0.048909552,37,11,0,0.10461243,94.007286,0,0,1.0054754,0.22060387,0.4238573,0.1971449,0.36690384,-57.2664,-26.209984,-53.531586,22.679588,False,319,23738.316408048537,684.3711,34.68632,14.748742,36,2899.8674620992574,344.07462,8.42802,16.682596,36,31643.584393251735,2686.867,11.777131,13.497181,0,3,0,2,0,1.455177,3.1854153,1.9338541,1.2515612,,,0,,,,132.09097000352074,-68.2979451361327,12.751792041588173,-11.617581036451062,1.1804778981288466,57.89920490516158,6.493741556014142,54.167132178904694
8,1.0250277328913232e-06,10,22.500822100000004,63.17903520000001,J013000.19+631044.5,1636042515805110273,Gaia EDR3 512415166365924224 ,512415166365924224,87610470,2016.0,22.500820547909015,0.009848746,63.179034451502865,0.011284696,0.1019751579258056,0.014951049,6.820602,1.8747097,-1.8523307062079677,0.01220512,0.28880383104836355,0.015309392,-0.19004439,-0.04915856,-0.35555002,-0.003822882,0.1755145,-0.031457204,-0.106994696,-0.024821004,0.03238283,-0.33868554,493,0,493,0,-1.9267354,415.49744,0.0,0.0,31,False,1.4011207,,,,,,,,56,25,0.022690875,65,24,0,0.008858053,71.16751,0,0,0.93829626,0.13621193,0.2816169,0.21790294,0.17065926,-63.981956,64.00393,16.049007,20.520548,False,558,49961.781306970595,38.018856,1314.1316,13.940772,65,17919.524789361945,69.28898,258.62012,14.705226,65,47373.02237870968,95.060844,498.3442,13.059068,0,2,0,0,0,1.3068498,1.6461582,0.7644539,0.88170433,,,0,,,,127.26602747908557,0.6322741729804748,50.92564156183872,48.59853870685511,1.3133077599817518,49.59096949314488,162.15251620231678,47.41412578632516
9,8.498144354944755e-06,14,48.59546050000001,59.2491743,J031422.91+591457.0,1636042515805110273,Gaia EDR3 462017332914172800 ,462017332914172800,116567970,2016.0,48.59547543940449,0.009244897,59.24917057572119,0.012193544,0.27825813786794074,0.015460047,17.998531,1.0068237,0.2581536164546463,0.01540961,-0.9731652188212199,0.017636163,0.5107001,-0.22111605,-0.22551093,0.27848625,-0.24213395,0.21177539,0.33745342,-0.012984371,-0.06479048,0.33508536,595,0,593,2,1.5030494,638.13367,0.01578776,0.23430294,31,False,1.4547948,,,,,,,,68,19,0.027141454,77,14,0,0.025612405,137.23123,0,0,1.0435734,0.54325145,0.53677994,0.42324337,0.45502928,-76.45473,-61.543503,56.40927,29.815136,False,627,71752.6507701533,10.215693,7023.767,13.547772,68,30936.233090313424,17.53794,1763.9606,14.112373,66,59596.09482288072,20.772488,2868.9917,12.809851,0,1,0,0,0,1.261728,1.3025227,0.56460094,0.7379217,,,0,,,,140.31171315623874,1.2890094851637652,64.01223832060155,39.489147358349534,1.1292157387524333,62.32179318930087,12.956216115225626,49.70210511738494
10,1.592770113658945e-05,20,80.2099386,31.943772100000007,J052050.38+315637.5,1636042515805110273,Gaia EDR3 180737068540953856 ,180737068540953856,1408695534,2016.0,80.20993852087103,0.01252745,31.943756172440406,0.009638353,0.23903307594446518,0.014115789,16.933739,0.14431587,0.007955334037086894,0.016715543,0.14409643369344494,0.012281779,-0.030300017,-0.0074950187,-0.19192445,0.06261417,-0.31622058,0.009739929,-0.33482632,0.15143044,0.14980797,0.010333179,251,251,251,0,-0.53019655,440.8634,0.060996562,5.046552,31,False,1.5551078,,,,,,,,29,17,0.0233319,31,12,0,0.03272795,177.12692,0,0,0.9748485,,,,,,,,,False,250,282053.9842532729,177.79266,1586.4208,12.061536,29,152503.48149826395,309.38254,492.92853,12.3803425,30,190317.09366171822,430.42575,442.1601,11.549201,0,0,0,0,0,1.2154431,0.8311415,0.31880665,0.5123348,,,0,,,,174.56835854622688,-2.841521984500688,81.60460079588253,8.789348324440628,1.1785660744988449,58.04767091435342,15.101006114118707,49.81938630600616
